Claim_ID,Damage_Category,Sub_Detail,Property_Type,Region,US_State,Distance_From_Listing_M,Num_Guests,Children_Present,Elderly_Only_Group,Party_Flag,Pet_Present,Pet_Caused_Damage,Guest_Claim,Evidence_Available,Evidence_Type_Reviewed,Reporting_Delay_Hours,Reporting_Window_Status,Item_Age_Years,Depreciation_Applicable,Depreciation_Pct_Applied,Date_Reported,Date_Resolved,Resolution_Days,Estimated_Damage_USD,Outcome,Resolution_Type,Decision_Basis,Amount_Charged_to_Guest_USD,AirCover_Host_Reimbursement_USD
ACH-0001,Scratch Damage,Major Scratch (Affects Aesthetics),Apartment,North America - US,GA,12.6,5,No,No,No,Yes,No,No damage at checkout,Yes,Guest: checkout photo/video,3,Within Window - 48 Hrs or Less,0,N/A,0,2023-08-19,2023-08-22,3,188.52,Charged,Repair,"Major Scratch - Affects Aesthetics, Repair Recommended",188.52,188.52
ACH-0002,Kitchenware Breakage,,Condo,Europe - EU,,16.3,5,No,No,Yes,No,No,Pre-existing condition,No,No photo/video evidence,12,Within Window - 48 Hrs or Less,0,N/A,0,2023-08-20,2023-08-23,3,210.59,Waived,N/A,No Evidence - Fast Reporting Supports Guest,0,0
ACH-0003,Furniture Damage,,Condo,Europe - UK,,18.9,5,No,No,No,Yes,No,No damage at checkout,Yes,Guest: checkout photo/video,308,Within Window - Days 8-14,4.8,Yes,0.576,2024-03-01,2024-03-05,4,1955.45,Waived,N/A,Guest Evidence Verified - Checkout Condition Confirmed,0,0
ACH-0004,Scratch Damage,Major Scratch (Affects Aesthetics),Condo,North America - US,WA,13.0,2,No,No,No,Yes,No,No damage at checkout,Yes,Guest: checkout photo/video,76,Within Window - Days 3-7,0,N/A,0,2023-09-21,2023-09-23,2,287.37,Charged,Repair,"Major Scratch - Affects Aesthetics, Repair Recommended",287.37,287.37
ACH-0005,Missing Item,,Condo,North America - US,FL,6.7,2,No,No,No,No,No,No damage at checkout,Yes,Guest: checkout photo/video,6,Within Window - 48 Hrs or Less,5.1,Yes,0.612,2023-09-10,2023-09-12,2,2220.71,Waived,N/A,Missing Item - No Pre-Checkin Proof of Existence,0,0
ACH-0006,Scratch Damage,Major Scratch (Affects Aesthetics),Apartment,Europe - UK,,9.6,6,No,No,No,No,No,No damage at checkout,No,No photo/video evidence,103,Within Window - Days 3-7,0,N/A,0,2024-04-26,2024-05-11,15,87.38,Charged,Repair,"Major Scratch - Affects Aesthetics, Repair Recommended",87.38,87.38
ACH-0007,Missing Item,,Cabin,Australia/NZ,,75.3,1,No,No,No,No,No,No damage at checkout,Yes,Guest: checkout photo/video,54,Within Window - Days 3-7,7.1,Yes,0.8,2023-10-14,2023-10-20,6,2474.74,Waived,N/A,Missing Item - No Pre-Checkin Proof of Existence,0,0
ACH-0008,Wall/Ceiling Damage,Hole in Wall,Apartment,North America - US,NY,1.8,2,Yes,No,No,No,No,No damage at checkout,No,No photo/video evidence,206,Within Window - Days 8-14,0,N/A,0,2023-12-29,2024-01-06,8,171.0,Charged,Reimbursement,Hole in Wall - Covered Under Wall/Ceiling Clause,171.0,171.0
ACH-0009,Furniture Damage,,Apartment,North America - US,NY,4.1,3,No,No,No,No,No,Pre-existing condition,Yes,Guest: checkin photo/video (claims pre-existing),0,Within Window - 48 Hrs or Less,6.9,Yes,0.8,2024-04-30,2024-05-10,10,1535.46,Waived,N/A,Guest Evidence Verified - Pre-existing Confirmed,0,0
ACH-0010,Electronics Damage,,Cabin,Europe - UK,,165.0,3,No,No,No,No,No,No damage at checkout,Yes,Guest: checkout photo/video,30,Within Window - 48 Hrs or Less,0.5,Yes,0.06,2024-02-04,2024-02-10,6,1508.65,Waived,N/A,Ineligible - Incident Beyond 100m Radius of Listing,0,0
